Name ;Site;Site_number;region;NPP_july2016;NPP_july2017;NPP_july2018;NPP_july2019;NPP;Temperature;mean;q95;vci;D6;D9;Hskew;H30;hqa;g;AGB;forestType;species;productivityCategory;standAge;disturbanceType;disturbanceYearInsectOutbreak;disturbanceYearFire;disturbanceArea;clearCutting;SeedTreesHeight;logging;retentionRate;commercialSpecies;planting;plantedSpecies;thinning;standCleansing;soilPreparation;fires;mooseDensity;mooseDensityUnit;unity;control;wolfDensity;wolfDensityUnit;otherUngulates;densityUngulates;lidarYear;pointDensity;ALSplatform;sourceOrganisation;sourceProject;repeatedLidar
16_kongsvinger1;kongsvinger1;16;Hedmark;25;32;40;26;3.075;3.74203109741211;0.35701231403890366;1.48;0.17131557313815315;0.015978463077554277;0.007986421397539441;1.900585678730626;0.9;1.270919184223984;2.984882649054118;1.6268973843080679;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;13;Logging/cutting;NA;NA;2.55832883989103;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;51.74;0.8195164840257873;individuals/km^16;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;12.2;2020;5;Fixed wing airplane (manned);Kartverket;Sør-Hedmark 2020 (LACHIN01);NA
17_maarud1;maarud1;17;Hedmark;44;61;88;51;6.1;4.13903141021729;1.0353523716843287;5.91;0.3552096193595778;0.04228889540832755;0.020078280967134873;1.7816748340493378;1.36;2.5418888133048165;12.505084178037945;6.96201314701071;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;17;Logging/cutting;NA;NA;2.36114256007373;2004;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;49.09;0.7774462566185537;individuals/km^17;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;17.07;2019;5;Fixed wing airplane (manned);Kartverket;NDH Nes-Sør-Odal-Kongsvinger sør 5pkt 2019 (LACH0009);NA
18_maarud2;maarud2;18;Hedmark;49;63;94;55;6.525;3.95637488365173;2.7825372077031263;15.5;0.4633958417991151;0.08688996471876954;0.03624187512310419;1.1259076340630076;2.29;5.666275579869273;34.206597115243326;13.156893027073817;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;17;Logging/cutting;NA;NA;5.30655241121873;2004;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;49.09;0.7774462566185537;individuals/km^18;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;17.07;2019;5;Fixed wing airplane (manned);Kartverket;NDH Nes-Sør-Odal-Kongsvinger sør 5pkt 2019 (LACH0009);2008
19_kongsvinger2;kongsvinger2;19;Hedmark;51;61;94;49;6.375;3.75153136253357;1.5893265065495725;8.24;0.431609942932222;0.04672854016972708;0.024501759366036845;2.180483299821852;1.58;3.645976899624594;18.334673472633163;12.67767876612068;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Low;13;Logging/cutting;NA;NA;0.493496396804601;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;51.74;0.8195164840257873;individuals/km^19;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;12.2;2019;5;Fixed wing airplane (manned);Kartverket;NDH Nes-Sør-Odal-Kongsvinger sør 5pkt 2019 (LACH0009);2008
20_maarud3;maarud3;20;Hedmark;29;36;47;31;3.575;3.95637488365173;2.566745643588183;17.81;0.4242829867071426;0.10093356737397902;0.03643673116940107;0.5851966469857781;2.02;6.120753446726659;21.15657447048927;6.770193544171133;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Medium;17;Logging/cutting;NA;NA;3.09731213837191;2004;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;49.09;0.7774462566185537;individuals/km^20;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;17.07;2019;5;Fixed wing airplane (manned);Kartverket;NDH Nes-Sør-Odal-Kongsvinger sør 5pkt 2019 (LACH0009);2008
21_h_pramhus;h_pramhus;21;Hedmark;50;66;94;54;6.6;4.2014479637146;1.2671179917337747;7.17;0.4035190768212599;0.04465183349750693;0.02302153889898754;1.6980970617564588;1.57;3.0275318713052575;16.78981334259717;8.083734342189768;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;14;Logging/cutting;NA;NA;5.93532231666874;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;62.65;0.9922786598628663;individuals/km^21;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;13.92;2016;2;Fixed wing airplane (manned);Kartverket;NDH Eidskog 2pkt 2016 (LACH0009);2008
22_nes2;nes2;22;Hedmark;43;63;89;49;6.1;4.22082281112671;1.0983863778143255;9.53;0.27594948606592734;0.04727499574661147;0.01815346225826575;1.0066356040204794;1.43;3.4504542746444455;9.98321544962349;3.4117692259041443;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;13;Logging/cutting;NA;NA;0;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;52.57;0.8723323888995053;individuals/km^22;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;33.13;2019;5;Fixed wing airplane (manned);Kartverket;NDH Nes-Sør-Odal-Kongsvinger sør 5pkt 2019 (LACH0009);2010
23_nes1;nes1;23;Hedmark;46;68;84;49;6.175;4.61264562606812;1.2243739191877872;8.28;0.29157953317893165;0.05189758084010487;0.021513973855966085;1.4214022995151587;1.61;3.122565021031159;14.238121308840146;6.858068640396928;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;13;Logging/cutting;NA;NA;1.68818521654643;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;52.57;0.8723323888995053;individuals/km^23;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;33.13;2019;5;Fixed wing airplane (manned);Kartverket;NDH Nes-Sør-Odal-Kongsvinger sør 5pkt 2019 (LACH0009);2010
24_eidskog;eidskog;24;Hedmark;52;62;94;50;6.45;3.95637488365173;2.427663144043752;9.120000000000001;0.548980542523103;0.15703770714256343;0.03486985484600518;0.3195717414520161;4.17;4.185385387381464;40.27641156797167;10.409177874982975;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;13;Logging/cutting;NA;NA;2.64396831553112;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;52.57;0.8723323888995053;individuals/km^24;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;33.13;2016;2;Fixed wing airplane (manned);Kartverket;NDH Eidskog 2pkt 2016 (LACH0009);2010
25_stig_dahlen;stig_dahlen;25;Hedmark;42;64;85;49;6;4.55237483978271;1.307244811505955;6.54;0.3816891252147853;0.041797254386025336;0.024177383469833377;2.4374796265438095;1.44;3.041734803490732;12.32360521592678;12.92539611641363;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;14;Logging/cutting;NA;NA;3.47004554333444;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;56.43;0.93645579471736;individuals/km^25;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;18.91;2019;0.7;Fixed wing airplane (manned);Kartverket;Nedre Romerike 07pkt 2019 (LACHOA91);NA
26_stangesk_eidskog;stangesk_eidskog;26;Hedmark;47;69;98;55;6.725;4.46536445617676;2.5214047391828873;17.73;0.47174879089607147;0.08624430559806975;0.036358643787024865;1.228739262847619;1.82;5.911143803312112;21.2;12.483639015572113;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Low;14;Logging/cutting;NA;NA;11.69823923738;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;62.65;0.9922786598628663;individuals/km^26;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;13.92;2016;2;Fixed wing airplane (manned);Kartverket;NDH Eidskog 2pkt 2016 (LACH0009);NA
27_sorem;sorem;27;Hedmark;51.5;62;85;51.5;7.35;4.85942697525024;0.4532385197508205;1.98;0.22646292774813334;0.015212064772203285;0.010510564812889343;3.4192646435677365;1.12;1.3928770567796072;2.6997902616210308;5.255516888998319;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Medium;NA;Logging/cutting;NA;NA;1.64530515191368;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;59.33;0.9844219585642014;individuals/km^27;Wild predators and human hunting;0.003;individuals/km^2;Red deer. roe deer;51.56;2019;5;Fixed wing airplane (manned);Kartverket;Nedre Romerike 5pkt 2019 (LACHOA91);NA
28_truls_holm;truls_holm;28;Hedmark;56;64;89;54;6.575;4.28081274032593;1.5586496441561086;10.700000000000001;0.2961248639121382;0.08127492989551424;0.02573736962416592;0.5903443961822031;1.43;3.8023570939714317;19.056840054729715;3.693794999938711;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;14;Logging/cutting;NA;NA;17.6906603859556;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;56.43;0.93645579471736;individuals/km^28;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;18.91;2019;0.7;Fixed wing airplane (manned);Kartverket;Nedre Romerike 07pkt 2019 (LACHOA91);NA
29_didrik_holmsen;didrik_holmsen;29;Hedmark;51;67;93.5;54;6.6375;4.61491680145264;1.0074291452800714;7.28;0.2962206132214753;0.040085918321803166;0.016514170943985718;1.374026538629348;1.41;3.0059861137702257;10.183704052939097;4.18966179198916;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;High;14;Logging/cutting;NA;NA;0;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;56.43;0.93645579471736;individuals/km^29;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;18.91;2019;0.7;Fixed wing airplane (manned);Kartverket;Nedre Romerike 07pkt 2019 (LACHOA91);NA
30_stangesk_aurskog;stangesk_aurskog;30;Hedmark;49;67;96;56;6.7;4.61491680145264;0.2853564453125;0.42;0.08787937902768436;0.008530560661764705;0.003762637867647059;1.1518318621943395;1.94;1.6210591186059888;2.588009759498083;0.5071653933625807;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Low;14;Logging/cutting;NA;NA;10.1147974646125;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;56.43;0.93645579471736;individuals/km^30;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;18.91;2019;0.7;Fixed wing airplane (manned);Kartverket;Nedre Romerike 07pkt 2019 (LACHOA91);NA
31_fet3;fet3;31;Hedmark;44;63;95;53;6.375;5.17013549804688;2.1400137802029953;9.01;0.5531127205658396;0.09484542928929572;0.033565032596544433;1.4075666956573303;2.2800000000000002;3.85080418430222;45.233711597870126;17.89811313690284;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Medium;13;Logging/cutting;NA;NA;2.97886894016191;2008;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;71.34;1.1837299122648335;individuals/km^31;Wild predators and human hunting;0.003;individuals/km^2;Roe deer;32.85;2019;0.7;Fixed wing airplane (manned);Kartverket;Nedre Romerike 07pkt 2019 (LACHOA91);NA
32_notodden5;notodden5;32;Telemark;44;51;88;46;5.725;2.62461471557617;0.9378283405907349;5.93;0.3459847239280756;0.04037563611562877;0.018508997429305913;1.5919139383600789;1.3;2.5081451870204563;11.097768741573717;5.278787846574504;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Medium;14;Logging/cutting;NA;NA;3.78542528252527;2007;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;45.75;0.7592353716772666;individuals/km^32;Human hunting;0;NA;Red deer. roe deer;11.11;2017;2;Fixed wing airplane (manned);Kartverket;NDH Tinn-Hjartdal 2pkt 2017 (LACH0009);2008
33_notodden3;notodden3;33;Telemark;49;54;83;46;5.8;3.97972917556763;1.4013099080971985;10.790000000000001;0.2940974235072745;0.07053185120263673;0.01955017621390084;0.18463427668148166;4.26;3.7770009180134347;21.576124948977913;3.2360273013283334;Mixed;Picea abies. Pinus sylvestris. Betula pubescens;Medium;19;Logging/cutting;NA;NA;0;2002;10;NA;NA;Picea abies. Pinus sylvestris;No;NA;No;No;NA;NA;45.75;0.7592353716772666;individuals/km^33;Human hunting;0;NA;Red deer. roe deer;11.11;2017;5;Fixed wing airplane (manned);Kartverket;NDH Notodden-Sauherad-Hjartdal 5pkt 2017 (LACH0009);2008
